LECROYHDO6034,16122,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,01-Feb-2018 13:06:40,0                 
Time,Ampl
-5.6009539e-007,-0.069375
-5.5969539e-007,-0.0696
-5.5929539e-007,-0.0698125
-5.5889539e-007,-0.070025
-5.5849539e-007,-0.07025
-5.5809539e-007,-0.0704625
-5.5769539e-007,-0.070675
-5.5729539e-007,-0.0709
-5.5689539e-007,-0.0711125
-5.5649539e-007,-0.0713375
-5.5609539e-007,-0.07155
-5.5569539e-007,-0.071775
-5.5529539e-007,-0.0719875
-5.5489539e-007,-0.0722125
-5.5449539e-007,-0.0724375
-5.5409539e-007,-0.07265
-5.5369539e-007,-0.072875
-5.5329539e-007,-0.0731
-5.5289539e-007,-0.0733125
-5.5249539e-007,-0.0735375
-5.5209539e-007,-0.0737625
-5.5169539e-007,-0.0739875
-5.5129539e-007,-0.0742
-5.5089539e-007,-0.074425
-5.5049539e-007,-0.07465
-5.5009539e-007,-0.074875
-5.4969539e-007,-0.0751
-5.4929539e-007,-0.075325
-5.4889539e-007,-0.07555
-5.4849539e-007,-0.075775
-5.4809539e-007,-0.076
-5.4769539e-007,-0.076225
-5.4729539e-007,-0.07645
-5.4689539e-007,-0.076675
-5.4649539e-007,-0.0769
-5.4609539e-007,-0.0771375
-5.4569539e-007,-0.0773625
-5.4529539e-007,-0.0775875
-5.4489539e-007,-0.0778125
-5.4449539e-007,-0.0780375
-5.4409539e-007,-0.078275
-5.4369539e-007,-0.0785
-5.4329539e-007,-0.078725
-5.4289539e-007,-0.0789625
-5.4249539e-007,-0.0791875
-5.4209539e-007,-0.0794125
-5.4169539e-007,-0.07965
-5.4129539e-007,-0.079875
-5.4089539e-007,-0.0801125
-5.4049539e-007,-0.0803375
-5.4009539e-007,-0.080575
-5.3969539e-007,-0.0808
-5.3929539e-007,-0.0810375
-5.3889539e-007,-0.0812625
-5.3849539e-007,-0.0815
-5.3809539e-007,-0.0817375
-5.3769539e-007,-0.0819625
-5.3729539e-007,-0.0822
-5.3689539e-007,-0.082425
-5.3649539e-007,-0.0826625
-5.3609539e-007,-0.0829
-5.3569539e-007,-0.083125
-5.3529539e-007,-0.0833625
-5.3489539e-007,-0.0836
-5.3449539e-007,-0.0838375
-5.3409539e-007,-0.0840625
-5.3369539e-007,-0.0843
-5.3329539e-007,-0.0845375
-5.3289539e-007,-0.084775
-5.3249539e-007,-0.0850125
-5.3209539e-007,-0.08525
-5.3169539e-007,-0.0854875
-5.3129539e-007,-0.085725
-5.3089539e-007,-0.0859625
-5.3049539e-007,-0.0862
-5.3009539e-007,-0.0864375
-5.2969539e-007,-0.086675
-5.2929539e-007,-0.0869125
-5.2889539e-007,-0.08715
-5.2849539e-007,-0.0873875
-5.2809539e-007,-0.087625
-5.2769539e-007,-0.087875
-5.2729539e-007,-0.0881125
-5.2689539e-007,-0.08835
-5.2649539e-007,-0.0886
-5.2609539e-007,-0.0888375
-5.2569539e-007,-0.089075
-5.2529539e-007,-0.089325
-5.2489539e-007,-0.0895625
-5.2449539e-007,-0.0898125
-5.2409539e-007,-0.09005
-5.2369539e-007,-0.0903
-5.2329539e-007,-0.0905375
-5.2289539e-007,-0.0907875
-5.2249539e-007,-0.0910375
-5.2209539e-007,-0.091275
-5.2169539e-007,-0.091525
-5.2129539e-007,-0.091775
-5.2089539e-007,-0.092025
-5.2049539e-007,-0.0922625
-5.2009539e-007,-0.0925125
-5.1969539e-007,-0.0927625
-5.1929539e-007,-0.0930125
-5.1889539e-007,-0.0932625
-5.1849539e-007,-0.0935125
-5.1809539e-007,-0.0937625
-5.1769539e-007,-0.094
-5.1729539e-007,-0.09425
-5.1689539e-007,-0.0945
-5.1649539e-007,-0.09475
-5.1609539e-007,-0.095
-5.1569539e-007,-0.09525
-5.1529539e-007,-0.0955125
-5.1489539e-007,-0.0957625
-5.1449539e-007,-0.0960125
-5.1409539e-007,-0.0962625
-5.1369539e-007,-0.0965125
-5.1329539e-007,-0.0967625
-5.1289539e-007,-0.0970125
-5.1249539e-007,-0.097275
-5.1209539e-007,-0.097525
-5.1169539e-007,-0.097775
-5.1129539e-007,-0.098025
-5.1089539e-007,-0.0982875
-5.1049539e-007,-0.0985375
-5.1009539e-007,-0.0987875
-5.0969539e-007,-0.09905
-5.0929539e-007,-0.0993
-5.0889539e-007,-0.09955
-5.0849539e-007,-0.0998125
-5.0809539e-007,-0.100063
-5.0769539e-007,-0.100325
-5.0729539e-007,-0.100575
-5.0689539e-007,-0.100825
-5.0649539e-007,-0.101088
-5.0609539e-007,-0.101338
-5.0569539e-007,-0.1016
-5.0529539e-007,-0.101862
-5.0489539e-007,-0.102112
-5.0449539e-007,-0.102375
-5.0409539e-007,-0.102625
-5.0369539e-007,-0.102887
-5.0329539e-007,-0.10315
-5.0289539e-007,-0.1034
-5.0249539e-007,-0.103662
-5.0209539e-007,-0.103925
-5.0169539e-007,-0.104175
-5.0129539e-007,-0.104437
-5.0089539e-007,-0.1047
-5.0049539e-007,-0.104963
-5.0009539e-007,-0.105213
-4.9969539e-007,-0.105475
-4.9929539e-007,-0.105738
-4.9889539e-007,-0.106
-4.9849539e-007,-0.106263
-4.9809539e-007,-0.106513
-4.9769539e-007,-0.106775
-4.9729539e-007,-0.107038
-4.9689539e-007,-0.1073
-4.9649539e-007,-0.107563
-4.9609539e-007,-0.107825
-4.9569539e-007,-0.108088
-4.9529539e-007,-0.10835
-4.9489539e-007,-0.108613
-4.9449539e-007,-0.108863
-4.9409539e-007,-0.109125
-4.9369539e-007,-0.1094
-4.9329539e-007,-0.109663
-4.9289539e-007,-0.109925
-4.9249539e-007,-0.110187
-4.9209539e-007,-0.11045
-4.9169539e-007,-0.110712
-4.9129539e-007,-0.110975
-4.9089539e-007,-0.111237
-4.9049539e-007,-0.111513
-4.9009539e-007,-0.111775
-4.8969539e-007,-0.112038
-4.8929539e-007,-0.1123
-4.8889539e-007,-0.112575
-4.8849539e-007,-0.112838
-4.8809539e-007,-0.1131
-4.8769539e-007,-0.113375
-4.8729539e-007,-0.113638
-4.8689539e-007,-0.113913
-4.8649539e-007,-0.114175
-4.8609539e-007,-0.11445
-4.8569539e-007,-0.114713
-4.8529539e-007,-0.114987
-4.8489539e-007,-0.115262
-4.8449539e-007,-0.115525
-4.8409539e-007,-0.1158
-4.8369539e-007,-0.116075
-4.8329539e-007,-0.11635
-4.8289539e-007,-0.116613
-4.8249539e-007,-0.116888
-4.8209539e-007,-0.117163
-4.8169539e-007,-0.117438
-4.8129539e-007,-0.117713
-4.8089539e-007,-0.117988
-4.8049539e-007,-0.118262
-4.8009539e-007,-0.118537
-4.7969539e-007,-0.118813
-4.7929539e-007,-0.119088
-4.7889539e-007,-0.119363
-4.7849539e-007,-0.119638
-4.7809539e-007,-0.119913
-4.7769539e-007,-0.120188
-4.7729539e-007,-0.120463
-4.7689539e-007,-0.120738
-4.7649539e-007,-0.121025
-4.7609539e-007,-0.1213
-4.7569539e-007,-0.121575
-4.7529539e-007,-0.12185
-4.7489539e-007,-0.122125
-4.7449539e-007,-0.122413
-4.7409539e-007,-0.122688
-4.7369539e-007,-0.122963
-4.7329539e-007,-0.123238
-4.7289539e-007,-0.123525
-4.7249539e-007,-0.1238
-4.7209539e-007,-0.124075
-4.7169539e-007,-0.12435
-4.7129539e-007,-0.124638
-4.7089539e-007,-0.124913
-4.7049539e-007,-0.125188
-4.7009539e-007,-0.125463
-4.6969539e-007,-0.12575
-4.6929539e-007,-0.126025
-4.6889539e-007,-0.1263
-4.6849539e-007,-0.126575
-4.6809539e-007,-0.126862
-4.6769539e-007,-0.127138
-4.6729539e-007,-0.127413
-4.6689539e-007,-0.127688
-4.6649539e-007,-0.127975
-4.6609539e-007,-0.12825
-4.6569539e-007,-0.128525
-4.6529539e-007,-0.1288
-4.6489539e-007,-0.129087
-4.6449539e-007,-0.129362
-4.6409539e-007,-0.129638
-4.6369539e-007,-0.129913
-4.6329539e-007,-0.1302
-4.6289539e-007,-0.130475
-4.6249539e-007,-0.13075
-4.6209539e-007,-0.131038
-4.6169539e-007,-0.131313
-4.6129539e-007,-0.131588
-4.6089539e-007,-0.131862
-4.6049539e-007,-0.13215
-4.6009539e-007,-0.132425
-4.5969539e-007,-0.1327
-4.5929539e-007,-0.132975
-4.5889539e-007,-0.133263
-4.5849539e-007,-0.133538
-4.5809539e-007,-0.133813
-4.5769539e-007,-0.1341
-4.5729539e-007,-0.134375
-4.5689539e-007,-0.13465
-4.5649539e-007,-0.134938
-4.5609539e-007,-0.135213
-4.5569539e-007,-0.135488
-4.5529539e-007,-0.135775
-4.5489539e-007,-0.13605
-4.5449539e-007,-0.136325
-4.5409539e-007,-0.136613
-4.5369539e-007,-0.136888
-4.5329539e-007,-0.137175
-4.5289539e-007,-0.13745
-4.5249539e-007,-0.137738
-4.5209539e-007,-0.138013
-4.5169539e-007,-0.1383
-4.5129539e-007,-0.138575
-4.5089539e-007,-0.138863
-4.5049539e-007,-0.139138
-4.5009539e-007,-0.139425
-4.4969539e-007,-0.1397
-4.4929539e-007,-0.139988
-4.4889539e-007,-0.140263
-4.4849539e-007,-0.14055
-4.4809539e-007,-0.140825
-4.4769539e-007,-0.141113
-4.4729539e-007,-0.141388
-4.4689539e-007,-0.141675
-4.4649539e-007,-0.14195
-4.4609539e-007,-0.142238
-4.4569539e-007,-0.142525
-4.4529539e-007,-0.1428
-4.4489539e-007,-0.143088
-4.4449539e-007,-0.143363
-4.4409539e-007,-0.14365
-4.4369539e-007,-0.143925
-4.4329539e-007,-0.144212
-4.4289539e-007,-0.144487
-4.4249539e-007,-0.144775
-4.4209539e-007,-0.145063
-4.4169539e-007,-0.145338
-4.4129539e-007,-0.145625
-4.4089539e-007,-0.1459
-4.4049539e-007,-0.146188
-4.4009539e-007,-0.146463
-4.3969539e-007,-0.14675
-4.3929539e-007,-0.147025
-4.3889539e-007,-0.147313
-4.3849539e-007,-0.147588
-4.3809539e-007,-0.147875
-4.3769539e-007,-0.148163
-4.3729539e-007,-0.148438
-4.3689539e-007,-0.148725
-4.3649539e-007,-0.149
-4.3609539e-007,-0.149288
-4.3569539e-007,-0.149575
-4.3529539e-007,-0.14985
-4.3489539e-007,-0.150138
-4.3449539e-007,-0.150413
-4.3409539e-007,-0.1507
-4.3369539e-007,-0.150988
-4.3329539e-007,-0.151262
-4.3289539e-007,-0.15155
-4.3249539e-007,-0.151838
-4.3209539e-007,-0.152125
-4.3169539e-007,-0.1524
-4.3129539e-007,-0.152688
-4.3089539e-007,-0.152975
-4.3049539e-007,-0.15325
-4.3009539e-007,-0.153537
-4.2969539e-007,-0.153825
-4.2929539e-007,-0.154113
-4.2889539e-007,-0.154388
-4.2849539e-007,-0.154675
-4.2809539e-007,-0.154963
-4.2769539e-007,-0.15525
-4.2729539e-007,-0.155525
-4.2689539e-007,-0.155812
-4.2649539e-007,-0.1561
-4.2609539e-007,-0.156375
-4.2569539e-007,-0.156663
-4.2529539e-007,-0.15695
-4.2489539e-007,-0.157225
-4.2449539e-007,-0.157513
-4.2409539e-007,-0.1578
-4.2369539e-007,-0.158075
-4.2329539e-007,-0.158363
-4.2289539e-007,-0.15865
-4.2249539e-007,-0.158925
-4.2209539e-007,-0.159213
-4.2169539e-007,-0.159488
-4.2129539e-007,-0.159775
-4.2089539e-007,-0.16005
-4.2049539e-007,-0.160337
-4.2009539e-007,-0.160612
-4.1969539e-007,-0.1609
-4.1929539e-007,-0.161175
