LECROYHDO6034,16122,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,31-Jan-2018 14:29:12,0                 
Time,Ampl
-5.6023342e-007,-0.0001625
-5.5983342e-007,-0.00015
-5.5943342e-007,-0.00015
-5.5903342e-007,-0.00015
-5.5863342e-007,-0.0001375
-5.5823342e-007,-0.0001375
-5.5783342e-007,-0.0001375
-5.5743342e-007,-0.000125
-5.5703342e-007,-0.000125
-5.5663342e-007,-0.0001125
-5.5623342e-007,-0.0001125
-5.5583342e-007,-0.0001
-5.5543342e-007,-0.0001
-5.5503342e-007,-0.0001
-5.5463342e-007,-8.75e-005
-5.5423342e-007,-8.75e-005
-5.5383342e-007,-7.5e-005
-5.5343342e-007,-7.5e-005
-5.5303342e-007,-6.25e-005
-5.5263342e-007,-6.25e-005
-5.5223342e-007,-6.25e-005
-5.5183342e-007,-5e-005
-5.5143342e-007,-5e-005
-5.5103342e-007,-3.75e-005
-5.5063342e-007,-3.75e-005
-5.5023342e-007,-3.75e-005
-5.4983342e-007,-2.5e-005
-5.4943342e-007,-2.5e-005
-5.4903342e-007,-1.25e-005
-5.4863342e-007,-1.25e-005
-5.4823342e-007,-1.25e-005
-5.4783342e-007,0
-5.4743342e-007,0
-5.4703342e-007,0
-5.4663342e-007,1.25e-005
-5.4623342e-007,1.25e-005
-5.4583342e-007,1.25e-005
-5.4543342e-007,1.25e-005
-5.4503342e-007,2.5e-005
-5.4463342e-007,2.5e-005
-5.4423342e-007,2.5e-005
-5.4383342e-007,2.5e-005
-5.4343342e-007,2.5e-005
-5.4303342e-007,2.5e-005
-5.4263342e-007,3.75e-005
-5.4223342e-007,3.75e-005
-5.4183342e-007,3.75e-005
-5.4143342e-007,3.75e-005
-5.4103342e-007,3.75e-005
-5.4063342e-007,3.75e-005
-5.4023342e-007,3.75e-005
-5.3983342e-007,3.75e-005
-5.3943342e-007,3.75e-005
-5.3903342e-007,3.75e-005
-5.3863342e-007,3.75e-005
-5.3823342e-007,3.75e-005
-5.3783342e-007,5e-005
-5.3743342e-007,5e-005
-5.3703342e-007,5e-005
-5.3663342e-007,5e-005
-5.3623342e-007,5e-005
-5.3583342e-007,5e-005
-5.3543342e-007,5e-005
-5.3503342e-007,5e-005
-5.3463342e-007,5e-005
-5.3423342e-007,5e-005
-5.3383342e-007,5e-005
-5.3343342e-007,5e-005
-5.3303342e-007,5e-005
-5.3263342e-007,5e-005
-5.3223342e-007,5e-005
-5.3183342e-007,5e-005
-5.3143342e-007,5e-005
-5.3103342e-007,6.25e-005
-5.3063342e-007,6.25e-005
-5.3023342e-007,6.25e-005
-5.2983342e-007,6.25e-005
-5.2943342e-007,6.25e-005
-5.2903342e-007,6.25e-005
-5.2863342e-007,6.25e-005
-5.2823342e-007,6.25e-005
-5.2783342e-007,6.25e-005
-5.2743342e-007,6.25e-005
-5.2703342e-007,6.25e-005
-5.2663342e-007,6.25e-005
-5.2623342e-007,6.25e-005
-5.2583342e-007,6.25e-005
-5.2543342e-007,6.25e-005
-5.2503342e-007,6.25e-005
-5.2463342e-007,6.25e-005
-5.2423342e-007,6.25e-005
-5.2383342e-007,6.25e-005
-5.2343342e-007,6.25e-005
-5.2303342e-007,6.25e-005
-5.2263342e-007,6.25e-005
-5.2223342e-007,6.25e-005
-5.2183342e-007,5e-005
-5.2143342e-007,5e-005
-5.2103342e-007,5e-005
-5.2063342e-007,5e-005
-5.2023342e-007,5e-005
-5.1983342e-007,5e-005
-5.1943342e-007,5e-005
-5.1903342e-007,5e-005
-5.1863342e-007,3.75e-005
-5.1823342e-007,3.75e-005
-5.1783342e-007,3.75e-005
-5.1743342e-007,3.75e-005
-5.1703342e-007,3.75e-005
-5.1663342e-007,3.75e-005
-5.1623342e-007,2.5e-005
-5.1583342e-007,2.5e-005
-5.1543342e-007,2.5e-005
-5.1503342e-007,2.5e-005
-5.1463342e-007,2.5e-005
-5.1423342e-007,2.5e-005
-5.1383342e-007,1.25e-005
-5.1343342e-007,1.25e-005
-5.1303342e-007,1.25e-005
-5.1263342e-007,1.25e-005
-5.1223342e-007,1.25e-005
-5.1183342e-007,1.25e-005
-5.1143342e-007,1.25e-005
-5.1103342e-007,0
-5.1063342e-007,0
-5.1023342e-007,0
-5.0983342e-007,0
-5.0943342e-007,0
-5.0903342e-007,0
-5.0863342e-007,0
-5.0823342e-007,-1.25e-005
-5.0783342e-007,-1.25e-005
-5.0743342e-007,-1.25e-005
-5.0703342e-007,-1.25e-005
-5.0663342e-007,-1.25e-005
-5.0623342e-007,-2.5e-005
-5.0583342e-007,-2.5e-005
-5.0543342e-007,-2.5e-005
-5.0503342e-007,-2.5e-005
-5.0463342e-007,-3.75e-005
-5.0423342e-007,-3.75e-005
-5.0383342e-007,-3.75e-005
-5.0343342e-007,-5e-005
-5.0303342e-007,-5e-005
-5.0263342e-007,-5e-005
-5.0223342e-007,-5e-005
-5.0183342e-007,-6.25e-005
-5.0143342e-007,-6.25e-005
-5.0103342e-007,-7.5e-005
-5.0063342e-007,-7.5e-005
-5.0023342e-007,-7.5e-005
-4.9983342e-007,-8.75e-005
-4.9943342e-007,-8.75e-005
-4.9903342e-007,-0.0001
-4.9863342e-007,-0.0001
-4.9823342e-007,-0.0001125
-4.9783342e-007,-0.0001125
-4.9743342e-007,-0.000125
-4.9703342e-007,-0.000125
-4.9663342e-007,-0.0001375
-4.9623342e-007,-0.0001375
-4.9583342e-007,-0.00015
-4.9543342e-007,-0.00015
-4.9503342e-007,-0.0001625
-4.9463342e-007,-0.0001625
-4.9423342e-007,-0.000175
-4.9383342e-007,-0.000175
-4.9343342e-007,-0.0001875
-4.9303342e-007,-0.0001875
-4.9263342e-007,-0.0002
-4.9223342e-007,-0.0002
-4.9183342e-007,-0.0002
-4.9143342e-007,-0.0002125
-4.9103342e-007,-0.0002125
-4.9063342e-007,-0.000225
-4.9023342e-007,-0.000225
-4.8983342e-007,-0.000225
-4.8943342e-007,-0.000225
-4.8903342e-007,-0.0002375
-4.8863342e-007,-0.0002375
-4.8823342e-007,-0.0002375
-4.8783342e-007,-0.0002375
-4.8743342e-007,-0.0002375
-4.8703342e-007,-0.00025
-4.8663342e-007,-0.00025
-4.8623342e-007,-0.00025
-4.8583342e-007,-0.00025
-4.8543342e-007,-0.00025
-4.8503342e-007,-0.00025
-4.8463342e-007,-0.00025
-4.8423342e-007,-0.00025
-4.8383342e-007,-0.0002375
-4.8343342e-007,-0.0002375
-4.8303342e-007,-0.0002375
-4.8263342e-007,-0.0002375
-4.8223342e-007,-0.000225
-4.8183342e-007,-0.000225
-4.8143342e-007,-0.000225
-4.8103342e-007,-0.0002125
-4.8063342e-007,-0.0002125
-4.8023342e-007,-0.0002125
-4.7983342e-007,-0.0002
-4.7943342e-007,-0.0002
-4.7903342e-007,-0.0001875
-4.7863342e-007,-0.0001875
-4.7823342e-007,-0.000175
-4.7783342e-007,-0.000175
-4.7743342e-007,-0.0001625
-4.7703342e-007,-0.0001625
-4.7663342e-007,-0.00015
-4.7623342e-007,-0.00015
-4.7583342e-007,-0.0001375
-4.7543342e-007,-0.0001375
-4.7503342e-007,-0.000125
-4.7463342e-007,-0.0001125
-4.7423342e-007,-0.0001125
-4.7383342e-007,-0.0001
-4.7343342e-007,-0.0001
-4.7303342e-007,-8.75e-005
-4.7263342e-007,-7.5e-005
-4.7223342e-007,-7.5e-005
-4.7183342e-007,-6.25e-005
-4.7143342e-007,-6.25e-005
-4.7103342e-007,-5e-005
-4.7063342e-007,-3.75e-005
-4.7023342e-007,-3.75e-005
-4.6983342e-007,-2.5e-005
-4.6943342e-007,-2.5e-005
-4.6903342e-007,-2.5e-005
-4.6863342e-007,-1.25e-005
-4.6823342e-007,-1.25e-005
-4.6783342e-007,0
-4.6743342e-007,0
-4.6703342e-007,0
-4.6663342e-007,1.25e-005
-4.6623342e-007,1.25e-005
-4.6583342e-007,1.25e-005
-4.6543342e-007,1.25e-005
-4.6503342e-007,2.5e-005
