LECROYHDO6034,16122,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,31-Jan-2018 17:19:12,0                 
Time,Ampl
-5.6022058e-007,0
-5.5982058e-007,0
-5.5942058e-007,0
-5.5902058e-007,0
-5.5862058e-007,0
-5.5822058e-007,0
-5.5782058e-007,1.25e-005
-5.5742058e-007,1.25e-005
-5.5702058e-007,1.25e-005
-5.5662058e-007,1.25e-005
-5.5622058e-007,1.25e-005
-5.5582058e-007,1.25e-005
-5.5542058e-007,1.25e-005
-5.5502058e-007,2.5e-005
-5.5462058e-007,2.5e-005
-5.5422058e-007,2.5e-005
-5.5382058e-007,2.5e-005
-5.5342058e-007,2.5e-005
-5.5302058e-007,2.5e-005
-5.5262058e-007,2.5e-005
-5.5222058e-007,2.5e-005
-5.5182058e-007,2.5e-005
-5.5142058e-007,2.5e-005
-5.5102058e-007,2.5e-005
-5.5062058e-007,2.5e-005
-5.5022058e-007,2.5e-005
-5.4982058e-007,2.5e-005
-5.4942058e-007,2.5e-005
-5.4902058e-007,2.5e-005
-5.4862058e-007,1.25e-005
-5.4822058e-007,1.25e-005
-5.4782058e-007,1.25e-005
-5.4742058e-007,1.25e-005
-5.4702058e-007,1.25e-005
-5.4662058e-007,1.25e-005
-5.4622058e-007,0
-5.4582058e-007,0
-5.4542058e-007,0
-5.4502058e-007,0
-5.4462058e-007,0
-5.4422058e-007,-1.25e-005
-5.4382058e-007,-1.25e-005
-5.4342058e-007,-1.25e-005
-5.4302058e-007,-1.25e-005
-5.4262058e-007,-2.5e-005
-5.4222058e-007,-2.5e-005
-5.4182058e-007,-2.5e-005
-5.4142058e-007,-2.5e-005
-5.4102058e-007,-3.75e-005
-5.4062058e-007,-3.75e-005
-5.4022058e-007,-3.75e-005
-5.3982058e-007,-3.75e-005
-5.3942058e-007,-5e-005
-5.3902058e-007,-5e-005
-5.3862058e-007,-5e-005
-5.3822058e-007,-5e-005
-5.3782058e-007,-6.25e-005
-5.3742058e-007,-6.25e-005
-5.3702058e-007,-6.25e-005
-5.3662058e-007,-6.25e-005
-5.3622058e-007,-7.5e-005
-5.3582058e-007,-7.5e-005
-5.3542058e-007,-7.5e-005
-5.3502058e-007,-7.5e-005
-5.3462058e-007,-7.5e-005
-5.3422058e-007,-8.75e-005
-5.3382058e-007,-8.75e-005
-5.3342058e-007,-8.75e-005
-5.3302058e-007,-8.75e-005
-5.3262058e-007,-8.75e-005
-5.3222058e-007,-0.0001
-5.3182058e-007,-0.0001
-5.3142058e-007,-0.0001
-5.3102058e-007,-0.0001
-5.3062058e-007,-0.0001
-5.3022058e-007,-0.0001
-5.2982058e-007,-0.0001125
-5.2942058e-007,-0.0001125
-5.2902058e-007,-0.0001125
-5.2862058e-007,-0.0001125
-5.2822058e-007,-0.0001125
-5.2782058e-007,-0.0001125
-5.2742058e-007,-0.0001125
-5.2702058e-007,-0.0001125
-5.2662058e-007,-0.0001125
-5.2622058e-007,-0.0001125
-5.2582058e-007,-0.0001125
-5.2542058e-007,-0.0001125
-5.2502058e-007,-0.0001125
-5.2462058e-007,-0.0001125
-5.2422058e-007,-0.0001125
-5.2382058e-007,-0.0001125
-5.2342058e-007,-0.0001125
-5.2302058e-007,-0.0001125
-5.2262058e-007,-0.0001125
-5.2222058e-007,-0.0001
-5.2182058e-007,-0.0001
-5.2142058e-007,-0.0001
-5.2102058e-007,-0.0001
-5.2062058e-007,-0.0001
-5.2022058e-007,-8.75e-005
-5.1982058e-007,-8.75e-005
-5.1942058e-007,-8.75e-005
-5.1902058e-007,-8.75e-005
-5.1862058e-007,-7.5e-005
-5.1822058e-007,-7.5e-005
-5.1782058e-007,-7.5e-005
-5.1742058e-007,-6.25e-005
-5.1702058e-007,-6.25e-005
-5.1662058e-007,-5e-005
-5.1622058e-007,-5e-005
-5.1582058e-007,-5e-005
-5.1542058e-007,-3.75e-005
-5.1502058e-007,-3.75e-005
-5.1462058e-007,-3.75e-005
-5.1422058e-007,-2.5e-005
-5.1382058e-007,-2.5e-005
-5.1342058e-007,-2.5e-005
-5.1302058e-007,-1.25e-005
-5.1262058e-007,-1.25e-005
-5.1222058e-007,-1.25e-005
-5.1182058e-007,0
-5.1142058e-007,0
-5.1102058e-007,0
-5.1062058e-007,0
-5.1022058e-007,1.25e-005
-5.0982058e-007,1.25e-005
-5.0942058e-007,1.25e-005
-5.0902058e-007,1.25e-005
-5.0862058e-007,1.25e-005
-5.0822058e-007,1.25e-005
-5.0782058e-007,1.25e-005
-5.0742058e-007,2.5e-005
-5.0702058e-007,2.5e-005
-5.0662058e-007,2.5e-005
-5.0622058e-007,2.5e-005
-5.0582058e-007,2.5e-005
-5.0542058e-007,2.5e-005
-5.0502058e-007,2.5e-005
-5.0462058e-007,2.5e-005
-5.0422058e-007,1.25e-005
-5.0382058e-007,1.25e-005
-5.0342058e-007,1.25e-005
-5.0302058e-007,1.25e-005
-5.0262058e-007,1.25e-005
-5.0222058e-007,1.25e-005
-5.0182058e-007,1.25e-005
-5.0142058e-007,1.25e-005
-5.0102058e-007,1.25e-005
-5.0062058e-007,1.25e-005
-5.0022058e-007,0
-4.9982058e-007,0
-4.9942058e-007,0
-4.9902058e-007,0
-4.9862058e-007,0
-4.9822058e-007,0
-4.9782058e-007,0
-4.9742058e-007,0
-4.9702058e-007,0
-4.9662058e-007,0
-4.9622058e-007,0
-4.9582058e-007,0
-4.9542058e-007,0
-4.9502058e-007,0
-4.9462058e-007,0
