LECROYHDO6034,16122,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,01-Feb-2018 13:33:40,0                 
Time,Ampl
-5.6031554e-007,-7.5e-005
-5.5991554e-007,-7.5e-005
-5.5951554e-007,-8.75e-005
-5.5911554e-007,-8.75e-005
-5.5871554e-007,-8.75e-005
-5.5831554e-007,-8.75e-005
-5.5791554e-007,-0.0001
-5.5751554e-007,-0.0001
-5.5711554e-007,-0.0001
-5.5671554e-007,-0.0001
-5.5631554e-007,-0.0001125
-5.5591554e-007,-0.0001125
-5.5551554e-007,-0.0001125
-5.5511554e-007,-0.000125
-5.5471554e-007,-0.000125
-5.5431554e-007,-0.000125
-5.5391554e-007,-0.000125
-5.5351554e-007,-0.0001375
-5.5311554e-007,-0.0001375
-5.5271554e-007,-0.0001375
-5.5231554e-007,-0.0001375
-5.5191554e-007,-0.00015
-5.5151554e-007,-0.00015
-5.5111554e-007,-0.00015
-5.5071554e-007,-0.00015
-5.5031554e-007,-0.00015
-5.4991554e-007,-0.00015
-5.4951554e-007,-0.00015
-5.4911554e-007,-0.00015
-5.4871554e-007,-0.00015
-5.4831554e-007,-0.00015
-5.4791554e-007,-0.00015
-5.4751554e-007,-0.00015
-5.4711554e-007,-0.00015
-5.4671554e-007,-0.00015
-5.4631554e-007,-0.0001375
-5.4591554e-007,-0.0001375
-5.4551554e-007,-0.0001375
-5.4511554e-007,-0.0001375
-5.4471554e-007,-0.0001375
-5.4431554e-007,-0.000125
-5.4391554e-007,-0.000125
-5.4351554e-007,-0.000125
-5.4311554e-007,-0.0001125
-5.4271554e-007,-0.0001125
-5.4231554e-007,-0.0001125
-5.4191554e-007,-0.0001
-5.4151554e-007,-0.0001
-5.4111554e-007,-0.0001
-5.4071554e-007,-8.75e-005
-5.4031554e-007,-8.75e-005
-5.3991554e-007,-7.5e-005
-5.3951554e-007,-7.5e-005
-5.3911554e-007,-6.25e-005
-5.3871554e-007,-6.25e-005
-5.3831554e-007,-5e-005
-5.3791554e-007,-5e-005
-5.3751554e-007,-3.75e-005
-5.3711554e-007,-3.75e-005
-5.3671554e-007,-3.75e-005
-5.3631554e-007,-2.5e-005
-5.3591554e-007,-2.5e-005
-5.3551554e-007,-1.25e-005
-5.3511554e-007,-1.25e-005
-5.3471554e-007,0
-5.3431554e-007,0
-5.3391554e-007,0
-5.3351554e-007,1.25e-005
-5.3311554e-007,1.25e-005
-5.3271554e-007,1.25e-005
-5.3231554e-007,2.5e-005
-5.3191554e-007,2.5e-005
-5.3151554e-007,3.75e-005
-5.3111554e-007,3.75e-005
-5.3071554e-007,3.75e-005
-5.3031554e-007,5e-005
-5.2991554e-007,5e-005
-5.2951554e-007,5e-005
-5.2911554e-007,5e-005
-5.2871554e-007,6.25e-005
-5.2831554e-007,6.25e-005
-5.2791554e-007,6.25e-005
-5.2751554e-007,6.25e-005
-5.2711554e-007,6.25e-005
-5.2671554e-007,6.25e-005
-5.2631554e-007,7.5e-005
-5.2591554e-007,7.5e-005
-5.2551554e-007,7.5e-005
-5.2511554e-007,7.5e-005
-5.2471554e-007,7.5e-005
-5.2431554e-007,7.5e-005
-5.2391554e-007,7.5e-005
-5.2351554e-007,6.25e-005
-5.2311554e-007,6.25e-005
-5.2271554e-007,6.25e-005
-5.2231554e-007,6.25e-005
-5.2191554e-007,6.25e-005
-5.2151554e-007,6.25e-005
-5.2111554e-007,6.25e-005
-5.2071554e-007,6.25e-005
-5.2031554e-007,5e-005
-5.1991554e-007,5e-005
-5.1951554e-007,5e-005
-5.1911554e-007,5e-005
-5.1871554e-007,3.75e-005
-5.1831554e-007,3.75e-005
-5.1791554e-007,3.75e-005
-5.1751554e-007,3.75e-005
-5.1711554e-007,2.5e-005
-5.1671554e-007,2.5e-005
-5.1631554e-007,2.5e-005
-5.1591554e-007,1.25e-005
-5.1551554e-007,1.25e-005
-5.1511554e-007,1.25e-005
-5.1471554e-007,1.25e-005
-5.1431554e-007,0
-5.1391554e-007,0
-5.1351554e-007,0
-5.1311554e-007,0
-5.1271554e-007,-1.25e-005
-5.1231554e-007,-1.25e-005
-5.1191554e-007,-1.25e-005
-5.1151554e-007,-1.25e-005
-5.1111554e-007,-2.5e-005
-5.1071554e-007,-2.5e-005
-5.1031554e-007,-2.5e-005
-5.0991554e-007,-2.5e-005
-5.0951554e-007,-2.5e-005
-5.0911554e-007,-2.5e-005
-5.0871554e-007,-3.75e-005
-5.0831554e-007,-3.75e-005
-5.0791554e-007,-3.75e-005
-5.0751554e-007,-3.75e-005
-5.0711554e-007,-3.75e-005
-5.0671554e-007,-5e-005
-5.0631554e-007,-5e-005
-5.0591554e-007,-5e-005
-5.0551554e-007,-5e-005
-5.0511554e-007,-5e-005
-5.0471554e-007,-5e-005
-5.0431554e-007,-6.25e-005
-5.0391554e-007,-6.25e-005
-5.0351554e-007,-6.25e-005
-5.0311554e-007,-6.25e-005
-5.0271554e-007,-6.25e-005
-5.0231554e-007,-6.25e-005
-5.0191554e-007,-7.5e-005
-5.0151554e-007,-7.5e-005
-5.0111554e-007,-7.5e-005
-5.0071554e-007,-7.5e-005
-5.0031554e-007,-7.5e-005
-4.9991554e-007,-8.75e-005
-4.9951554e-007,-8.75e-005
-4.9911554e-007,-8.75e-005
-4.9871554e-007,-8.75e-005
-4.9831554e-007,-8.75e-005
-4.9791554e-007,-0.0001
-4.9751554e-007,-0.0001
-4.9711554e-007,-0.0001
-4.9671554e-007,-0.0001
-4.9631554e-007,-0.0001
-4.9591554e-007,-0.0001125
-4.9551554e-007,-0.0001125
-4.9511554e-007,-0.0001125
-4.9471554e-007,-0.0001125
-4.9431554e-007,-0.0001125
-4.9391554e-007,-0.0001125
-4.9351554e-007,-0.000125
-4.9311554e-007,-0.000125
-4.9271554e-007,-0.000125
-4.9231554e-007,-0.000125
-4.9191554e-007,-0.000125
-4.9151554e-007,-0.000125
-4.9111554e-007,-0.000125
-4.9071554e-007,-0.000125
-4.9031554e-007,-0.000125
-4.8991554e-007,-0.000125
-4.8951554e-007,-0.0001375
-4.8911554e-007,-0.0001375
-4.8871554e-007,-0.0001375
-4.8831554e-007,-0.0001375
-4.8791554e-007,-0.0001375
-4.8751554e-007,-0.0001375
-4.8711554e-007,-0.0001375
-4.8671554e-007,-0.0001375
-4.8631554e-007,-0.0001375
-4.8591554e-007,-0.0001375
-4.8551554e-007,-0.0001375
-4.8511554e-007,-0.0001375
-4.8471554e-007,-0.0001375
-4.8431554e-007,-0.0001375
-4.8391554e-007,-0.0001375
-4.8351554e-007,-0.0001375
-4.8311554e-007,-0.0001375
-4.8271554e-007,-0.0001375
-4.8231554e-007,-0.0001375
-4.8191554e-007,-0.0001375
-4.8151554e-007,-0.0001375
-4.8111554e-007,-0.0001375
-4.8071554e-007,-0.0001375
-4.8031554e-007,-0.0001375
-4.7991554e-007,-0.0001375
-4.7951554e-007,-0.0001375
-4.7911554e-007,-0.0001375
-4.7871554e-007,-0.0001375
-4.7831554e-007,-0.0001375
-4.7791554e-007,-0.0001375
-4.7751554e-007,-0.000125
-4.7711554e-007,-0.000125
-4.7671554e-007,-0.000125
-4.7631554e-007,-0.000125
-4.7591554e-007,-0.000125
-4.7551554e-007,-0.000125
-4.7511554e-007,-0.000125
-4.7471554e-007,-0.0001125
-4.7431554e-007,-0.0001125
-4.7391554e-007,-0.0001125
-4.7351554e-007,-0.0001125
-4.7311554e-007,-0.0001
-4.7271554e-007,-0.0001
-4.7231554e-007,-0.0001
-4.7191554e-007,-0.0001
-4.7151554e-007,-8.75e-005
-4.7111554e-007,-8.75e-005
-4.7071554e-007,-8.75e-005
-4.7031554e-007,-8.75e-005
-4.6991554e-007,-7.5e-005
-4.6951554e-007,-7.5e-005
-4.6911554e-007,-7.5e-005
-4.6871554e-007,-7.5e-005
-4.6831554e-007,-6.25e-005
-4.6791554e-007,-6.25e-005
-4.6751554e-007,-6.25e-005
-4.6711554e-007,-6.25e-005
-4.6671554e-007,-5e-005
-4.6631554e-007,-5e-005
-4.6591554e-007,-5e-005
-4.6551554e-007,-5e-005
-4.6511554e-007,-3.75e-005
-4.6471554e-007,-3.75e-005
-4.6431554e-007,-3.75e-005
-4.6391554e-007,-3.75e-005
-4.6351554e-007,-3.75e-005
-4.6311554e-007,-3.75e-005
-4.6271554e-007,-2.5e-005
-4.6231554e-007,-2.5e-005
-4.6191554e-007,-2.5e-005
-4.6151554e-007,-2.5e-005
-4.6111554e-007,-2.5e-005
