LECROYHDO6034,16122,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,31-Jan-2018 14:59:12,0                 
Time,Ampl
-5.6022641e-007,-0.0001
-5.5982641e-007,-0.0001
-5.5942641e-007,-0.0001
-5.5902641e-007,-0.0001
-5.5862641e-007,-0.0001
-5.5822641e-007,-0.0001125
-5.5782641e-007,-0.0001125
-5.5742641e-007,-0.0001125
-5.5702641e-007,-0.0001125
-5.5662641e-007,-0.0001125
-5.5622641e-007,-0.0001125
-5.5582641e-007,-0.0001125
-5.5542641e-007,-0.000125
-5.5502641e-007,-0.000125
-5.5462641e-007,-0.000125
-5.5422641e-007,-0.000125
-5.5382641e-007,-0.000125
-5.5342641e-007,-0.000125
-5.5302641e-007,-0.000125
-5.5262641e-007,-0.000125
-5.5222641e-007,-0.000125
-5.5182641e-007,-0.000125
-5.5142641e-007,-0.000125
-5.5102641e-007,-0.000125
-5.5062641e-007,-0.000125
-5.5022641e-007,-0.000125
-5.4982641e-007,-0.000125
-5.4942641e-007,-0.000125
-5.4902641e-007,-0.000125
-5.4862641e-007,-0.000125
-5.4822641e-007,-0.000125
-5.4782641e-007,-0.000125
-5.4742641e-007,-0.0001375
-5.4702641e-007,-0.0001375
-5.4662641e-007,-0.000125
-5.4622641e-007,-0.0001375
-5.4582641e-007,-0.0001375
-5.4542641e-007,-0.000125
-5.4502641e-007,-0.000125
-5.4462641e-007,-0.0001375
-5.4422641e-007,-0.000125
-5.4382641e-007,-0.000125
-5.4342641e-007,-0.000125
-5.4302641e-007,-0.000125
-5.4262641e-007,-0.000125
-5.4222641e-007,-0.000125
-5.4182641e-007,-0.000125
-5.4142641e-007,-0.000125
-5.4102641e-007,-0.000125
-5.4062641e-007,-0.000125
-5.4022641e-007,-0.000125
-5.3982641e-007,-0.000125
-5.3942641e-007,-0.000125
-5.3902641e-007,-0.000125
-5.3862641e-007,-0.000125
-5.3822641e-007,-0.000125
-5.3782641e-007,-0.0001125
-5.3742641e-007,-0.0001125
-5.3702641e-007,-0.0001125
-5.3662641e-007,-0.0001125
-5.3622641e-007,-0.0001125
-5.3582641e-007,-0.0001
-5.3542641e-007,-0.0001
-5.3502641e-007,-0.0001
-5.3462641e-007,-0.0001
-5.3422641e-007,-8.75e-005
-5.3382641e-007,-8.75e-005
-5.3342641e-007,-8.75e-005
-5.3302641e-007,-8.75e-005
-5.3262641e-007,-7.5e-005
-5.3222641e-007,-7.5e-005
-5.3182641e-007,-7.5e-005
