LECROYHDO6034,16122,Waveform
Segments,1,SegmentSize,50002
Segment,TrigTime,TimeSinceSegment1
#1,31-Jan-2018 11:13:45,0                 
Time,Ampl
-5.6015517e-007,-0.00045
-5.5975517e-007,-0.00045
-5.5935517e-007,-0.00045
-5.5895517e-007,-0.00045
-5.5855517e-007,-0.00045
-5.5815517e-007,-0.00045
-5.5775517e-007,-0.00045
-5.5735517e-007,-0.00045
-5.5695517e-007,-0.00045
-5.5655517e-007,-0.0004375
-5.5615517e-007,-0.0004375
-5.5575517e-007,-0.0004375
-5.5535517e-007,-0.0004375
-5.5495517e-007,-0.0004375
-5.5455517e-007,-0.0004375
-5.5415517e-007,-0.0004375
-5.5375517e-007,-0.0004375
-5.5335517e-007,-0.0004375
-5.5295517e-007,-0.0004375
-5.5255517e-007,-0.0004375
-5.5215517e-007,-0.0004375
-5.5175517e-007,-0.0004375
-5.5135517e-007,-0.0004375
-5.5095517e-007,-0.0004375
-5.5055517e-007,-0.0004375
-5.5015517e-007,-0.0004375
-5.4975517e-007,-0.0004375
-5.4935517e-007,-0.0004375
-5.4895517e-007,-0.0004375
-5.4855517e-007,-0.0004375
-5.4815517e-007,-0.0004375
-5.4775517e-007,-0.0004375
-5.4735517e-007,-0.0004375
-5.4695517e-007,-0.0004375
-5.4655517e-007,-0.0004375
-5.4615517e-007,-0.0004375
-5.4575517e-007,-0.0004375
-5.4535517e-007,-0.0004375
-5.4495517e-007,-0.0004375
-5.4455517e-007,-0.00045
-5.4415517e-007,-0.00045
-5.4375517e-007,-0.00045
-5.4335517e-007,-0.00045
-5.4295517e-007,-0.00045
-5.4255517e-007,-0.00045
-5.4215517e-007,-0.00045
-5.4175517e-007,-0.00045
-5.4135517e-007,-0.00045
-5.4095517e-007,-0.0004375
-5.4055517e-007,-0.0004375
-5.4015517e-007,-0.0004375
-5.3975517e-007,-0.0004375
-5.3935517e-007,-0.0004375
-5.3895517e-007,-0.0004375
-5.3855517e-007,-0.0004375
-5.3815517e-007,-0.0004375
-5.3775517e-007,-0.0004375
-5.3735517e-007,-0.0004375
-5.3695517e-007,-0.0004375
-5.3655517e-007,-0.0004375
-5.3615517e-007,-0.000425
-5.3575517e-007,-0.000425
-5.3535517e-007,-0.000425
-5.3495517e-007,-0.000425
-5.3455517e-007,-0.000425
-5.3415517e-007,-0.000425
-5.3375517e-007,-0.000425
-5.3335517e-007,-0.000425
-5.3295517e-007,-0.000425
-5.3255517e-007,-0.0004125
-5.3215517e-007,-0.0004125
-5.3175517e-007,-0.0004125
-5.3135517e-007,-0.0004125
-5.3095517e-007,-0.0004125
-5.3055517e-007,-0.0004125
-5.3015517e-007,-0.0004125
-5.2975517e-007,-0.0004125
-5.2935517e-007,-0.0004125
-5.2895517e-007,-0.0004125
-5.2855517e-007,-0.0004125
-5.2815517e-007,-0.0004125
-5.2775517e-007,-0.0004125
-5.2735517e-007,-0.0004125
-5.2695517e-007,-0.0004125
-5.2655517e-007,-0.0004125
-5.2615517e-007,-0.0004125
-5.2575517e-007,-0.0004125
-5.2535517e-007,-0.0004125
-5.2495517e-007,-0.0004125
-5.2455517e-007,-0.0004125
-5.2415517e-007,-0.0004125
-5.2375517e-007,-0.0004125
-5.2335517e-007,-0.000425
-5.2295517e-007,-0.000425
-5.2255517e-007,-0.000425
-5.2215517e-007,-0.000425
-5.2175517e-007,-0.000425
-5.2135517e-007,-0.000425
-5.2095517e-007,-0.000425
-5.2055517e-007,-0.000425
-5.2015517e-007,-0.000425
-5.1975517e-007,-0.000425
-5.1935517e-007,-0.000425
-5.1895517e-007,-0.000425
-5.1855517e-007,-0.000425
-5.1815517e-007,-0.000425
-5.1775517e-007,-0.000425
-5.1735517e-007,-0.000425
-5.1695517e-007,-0.000425
-5.1655517e-007,-0.000425
-5.1615517e-007,-0.000425
-5.1575517e-007,-0.000425
-5.1535517e-007,-0.000425
-5.1495517e-007,-0.000425
-5.1455517e-007,-0.000425
-5.1415517e-007,-0.000425
-5.1375517e-007,-0.000425
-5.1335517e-007,-0.000425
-5.1295517e-007,-0.000425
-5.1255517e-007,-0.000425
-5.1215517e-007,-0.000425
-5.1175517e-007,-0.000425
-5.1135517e-007,-0.0004125
-5.1095517e-007,-0.0004125
-5.1055517e-007,-0.0004125
-5.1015517e-007,-0.0004125
-5.0975517e-007,-0.0004125
-5.0935517e-007,-0.0004125
-5.0895517e-007,-0.0004125
-5.0855517e-007,-0.0004
-5.0815517e-007,-0.0004
-5.0775517e-007,-0.0004
-5.0735517e-007,-0.0004
-5.0695517e-007,-0.0004
-5.0655517e-007,-0.0004
-5.0615517e-007,-0.0004
-5.0575517e-007,-0.0004
-5.0535517e-007,-0.0003875
-5.0495517e-007,-0.0003875
-5.0455517e-007,-0.0003875
-5.0415517e-007,-0.0003875
-5.0375517e-007,-0.0003875
-5.0335517e-007,-0.0003875
-5.0295517e-007,-0.0003875
-5.0255517e-007,-0.0003875
-5.0215517e-007,-0.0003875
-5.0175517e-007,-0.000375
-5.0135517e-007,-0.000375
-5.0095517e-007,-0.000375
-5.0055517e-007,-0.000375
-5.0015517e-007,-0.000375
-4.9975517e-007,-0.000375
-4.9935517e-007,-0.000375
-4.9895517e-007,-0.000375
-4.9855517e-007,-0.000375
-4.9815517e-007,-0.000375
-4.9775517e-007,-0.000375
-4.9735517e-007,-0.000375
-4.9695517e-007,-0.0003625
-4.9655517e-007,-0.0003625
-4.9615517e-007,-0.0003625
-4.9575517e-007,-0.0003625
-4.9535517e-007,-0.0003625
-4.9495517e-007,-0.0003625
-4.9455517e-007,-0.0003625
-4.9415517e-007,-0.0003625
-4.9375517e-007,-0.0003625
-4.9335517e-007,-0.00035
-4.9295517e-007,-0.00035
-4.9255517e-007,-0.00035
-4.9215517e-007,-0.00035
-4.9175517e-007,-0.00035
-4.9135517e-007,-0.00035
-4.9095517e-007,-0.00035
-4.9055517e-007,-0.00035
-4.9015517e-007,-0.00035
-4.8975517e-007,-0.0003375
-4.8935517e-007,-0.0003375
-4.8895517e-007,-0.0003375
-4.8855517e-007,-0.0003375
-4.8815517e-007,-0.0003375
-4.8775517e-007,-0.0003375
-4.8735517e-007,-0.0003375
-4.8695517e-007,-0.0003375
-4.8655517e-007,-0.0003375
-4.8615517e-007,-0.0003375
-4.8575517e-007,-0.0003375
-4.8535517e-007,-0.0003375
-4.8495517e-007,-0.0003375
-4.8455517e-007,-0.0003375
-4.8415517e-007,-0.0003375
-4.8375517e-007,-0.0003375
-4.8335517e-007,-0.0003375
-4.8295517e-007,-0.0003375
-4.8255517e-007,-0.0003375
-4.8215517e-007,-0.0003375
-4.8175517e-007,-0.0003375
-4.8135517e-007,-0.0003375
-4.8095517e-007,-0.0003375
-4.8055517e-007,-0.0003375
-4.8015517e-007,-0.00035
-4.7975517e-007,-0.00035
-4.7935517e-007,-0.00035
-4.7895517e-007,-0.00035
-4.7855517e-007,-0.00035
-4.7815517e-007,-0.00035
-4.7775517e-007,-0.0003625
-4.7735517e-007,-0.0003625
-4.7695517e-007,-0.0003625
-4.7655517e-007,-0.0003625
-4.7615517e-007,-0.0003625
-4.7575517e-007,-0.000375
-4.7535517e-007,-0.000375
-4.7495517e-007,-0.000375
-4.7455517e-007,-0.000375
-4.7415517e-007,-0.0003875
-4.7375517e-007,-0.0003875
-4.7335517e-007,-0.0003875
-4.7295517e-007,-0.0003875
-4.7255517e-007,-0.0003875
-4.7215517e-007,-0.0004
-4.7175517e-007,-0.0004
-4.7135517e-007,-0.0004
-4.7095517e-007,-0.0004
-4.7055517e-007,-0.0004
-4.7015517e-007,-0.0004
-4.6975517e-007,-0.0004
-4.6935517e-007,-0.0004125
-4.6895517e-007,-0.0004125
-4.6855517e-007,-0.0004125
-4.6815517e-007,-0.0004125
-4.6775517e-007,-0.0004125
-4.6735517e-007,-0.0004125
-4.6695517e-007,-0.0004125
-4.6655517e-007,-0.0004125
-4.6615517e-007,-0.0004125
-4.6575517e-007,-0.0004125
-4.6535517e-007,-0.0004125
-4.6495517e-007,-0.0004125
-4.6455517e-007,-0.0004125
-4.6415517e-007,-0.0004125
-4.6375517e-007,-0.0004125
-4.6335517e-007,-0.0004125
-4.6295517e-007,-0.0004125
-4.6255517e-007,-0.0004125
-4.6215517e-007,-0.0004125
-4.6175517e-007,-0.0004
-4.6135517e-007,-0.0004
-4.6095517e-007,-0.0004
-4.6055517e-007,-0.0004
-4.6015517e-007,-0.0004
-4.5975517e-007,-0.0004
-4.5935517e-007,-0.0004
-4.5895517e-007,-0.0004
-4.5855517e-007,-0.0004
-4.5815517e-007,-0.0004
-4.5775517e-007,-0.0004
-4.5735517e-007,-0.0004
-4.5695517e-007,-0.0004
-4.5655517e-007,-0.0004
-4.5615517e-007,-0.0004
-4.5575517e-007,-0.0004
-4.5535517e-007,-0.0004
-4.5495517e-007,-0.0004
-4.5455517e-007,-0.0004
-4.5415517e-007,-0.0004
-4.5375517e-007,-0.0004125
-4.5335517e-007,-0.0004125
-4.5295517e-007,-0.0004125
-4.5255517e-007,-0.0004125
-4.5215517e-007,-0.0004125
-4.5175517e-007,-0.0004125
-4.5135517e-007,-0.000425
-4.5095517e-007,-0.000425
-4.5055517e-007,-0.000425
-4.5015517e-007,-0.000425
-4.4975517e-007,-0.0004375
-4.4935517e-007,-0.0004375
-4.4895517e-007,-0.0004375
-4.4855517e-007,-0.0004375
-4.4815517e-007,-0.00045
-4.4775517e-007,-0.00045
-4.4735517e-007,-0.00045
-4.4695517e-007,-0.00045
-4.4655517e-007,-0.0004625
-4.4615517e-007,-0.0004625
-4.4575517e-007,-0.0004625
-4.4535517e-007,-0.0004625
-4.4495517e-007,-0.000475
-4.4455517e-007,-0.000475
-4.4415517e-007,-0.000475
-4.4375517e-007,-0.000475
-4.4335517e-007,-0.000475
-4.4295517e-007,-0.0004875
-4.4255517e-007,-0.0004875
-4.4215517e-007,-0.0004875
-4.4175517e-007,-0.0004875
-4.4135517e-007,-0.0004875
-4.4095517e-007,-0.0005
-4.4055517e-007,-0.0005
-4.4015517e-007,-0.0005
-4.3975517e-007,-0.0005
-4.3935517e-007,-0.0005
-4.3895517e-007,-0.0005
-4.3855517e-007,-0.0005125
-4.3815517e-007,-0.0005125
-4.3775517e-007,-0.0005125
-4.3735517e-007,-0.0005125
-4.3695517e-007,-0.0005125
-4.3655517e-007,-0.0005125
-4.3615517e-007,-0.0005125
-4.3575517e-007,-0.0005125
-4.3535517e-007,-0.0005125
-4.3495517e-007,-0.0005125
-4.3455517e-007,-0.000525
-4.3415517e-007,-0.000525
-4.3375517e-007,-0.000525
-4.3335517e-007,-0.000525
-4.3295517e-007,-0.000525
-4.3255517e-007,-0.000525
-4.3215517e-007,-0.000525
-4.3175517e-007,-0.000525
-4.3135517e-007,-0.000525
-4.3095517e-007,-0.000525
-4.3055517e-007,-0.000525
-4.3015517e-007,-0.000525
-4.2975517e-007,-0.000525
-4.2935517e-007,-0.0005375
-4.2895517e-007,-0.0005375
-4.2855517e-007,-0.0005375
-4.2815517e-007,-0.0005375
-4.2775517e-007,-0.0005375
-4.2735517e-007,-0.0005375
-4.2695517e-007,-0.0005375
-4.2655517e-007,-0.0005375
-4.2615517e-007,-0.0005375
-4.2575517e-007,-0.0005375
-4.2535517e-007,-0.0005375
-4.2495517e-007,-0.0005375
-4.2455517e-007,-0.0005375
-4.2415517e-007,-0.0005375
-4.2375517e-007,-0.0005375
-4.2335517e-007,-0.0005375
-4.2295517e-007,-0.0005375
-4.2255517e-007,-0.00055
-4.2215517e-007,-0.00055
-4.2175517e-007,-0.00055
-4.2135517e-007,-0.00055
-4.2095517e-007,-0.00055
-4.2055517e-007,-0.00055
-4.2015517e-007,-0.00055
-4.1975517e-007,-0.00055
-4.1935517e-007,-0.00055
-4.1895517e-007,-0.00055
-4.1855517e-007,-0.00055
-4.1815517e-007,-0.00055
-4.1775517e-007,-0.00055
-4.1735517e-007,-0.0005375
-4.1695517e-007,-0.0005375
-4.1655517e-007,-0.0005375
-4.1615517e-007,-0.0005375
-4.1575517e-007,-0.0005375
-4.1535517e-007,-0.0005375
-4.1495517e-007,-0.0005375
-4.1455517e-007,-0.0005375
-4.1415517e-007,-0.0005375
-4.1375517e-007,-0.0005375
-4.1335517e-007,-0.0005375
-4.1295517e-007,-0.0005375
-4.1255517e-007,-0.0005375
-4.1215517e-007,-0.0005375
-4.1175517e-007,-0.0005375
-4.1135517e-007,-0.0005375
-4.1095517e-007,-0.0005375
-4.1055517e-007,-0.0005375
-4.1015517e-007,-0.0005375
-4.0975517e-007,-0.0005375
-4.0935517e-007,-0.0005375
-4.0895517e-007,-0.0005375
